digits,noise_type,hum,target_snr_db,measured_snr_db,path,decoded,digit_acc,seq_acc
5551234,tonal,False,5,5.0,test_wavs\test_5551234_tonal_snr5.wav,5551234,1.0,True
5551234,tonal,False,0,0.0,test_wavs\test_5551234_tonal_snr0.wav,5551234,1.0,True
5551234,tonal,False,-5,-5.0,test_wavs\test_5551234_tonal_snr-5.wav,5551234,1.0,True
4085550100,clean,False,,,test_wavs\test_4085550100_clean.wav,4085550100,1.0,True
4085550100,white,False,30,30.0,test_wavs\test_4085550100_white_snr30.wav,4085550100,1.0,True
4085550100,white,False,25,25.0,test_wavs\test_4085550100_white_snr25.wav,4085550100,1.0,True
4085550100,white,False,20,20.0,test_wavs\test_4085550100_white_snr20.wav,4085550100,1.0,True
4085550100,white,False,15,15.0,test_wavs\test_4085550100_white_snr15.wav,4085550100,1.0,True
4085550100,white,False,10,10.0,test_wavs\test_4085550100_white_snr10.wav,4085550100,1.0,True
4085550100,white,False,5,5.0,test_wavs\test_4085550100_white_snr5.wav,4085550100,1.0,True
4085550100,white,False,0,0.0,test_wavs\test_4085550100_white_snr0.wav,4085550100,1.0,True
4085550100,white,False,-5,-5.0,test_wavs\test_4085550100_white_snr-5.wav,4085550100,1.0,True
4085550100,hiss,False,30,30.0,test_wavs\test_4085550100_hiss_snr30.wav,4085550100,1.0,True
4085550100,hiss,False,25,25.0,test_wavs\test_4085550100_hiss_snr25.wav,4085550100,1.0,True
4085550100,hiss,False,20,20.0,test_wavs\test_4085550100_hiss_snr20.wav,4085550100,1.0,True
4085550100,hiss,False,15,15.0,test_wavs\test_4085550100_hiss_snr15.wav,4085550100,1.0,True
4085550100,hiss,False,10,10.0,test_wavs\test_4085550100_hiss_snr10.wav,4085550100,1.0,True
4085550100,hiss,False,5,5.0,test_wavs\test_4085550100_hiss_snr5.wav,4085550100,1.0,True
4085550100,hiss,False,0,-0.0,test_wavs\test_4085550100_hiss_snr0.wav,4085550100,1.0,True
4085550100,hiss,False,-5,-5.0,test_wavs\test_4085550100_hiss_snr-5.wav,4085550100,1.0,True
4085550100,mixed,False,30,30.0,test_wavs\test_4085550100_mixed_snr30.wav,4085550100,1.0,True
4085550100,mixed,False,25,25.0,test_wavs\test_4085550100_mixed_snr25.wav,4085550100,1.0,True
